resource_id,title,description,topics,difficulty,format,duration_minutes,cost_type,price_usd,provider,quality_score,accessibility_score,has_captions,has_transcript,prerequisites,language,resource_url,popularity_score
R0035,Computer vision Concept Clinic 35,An original intermediate learning resource that develops computer vision concepts through video activities and connects them with machine learning practice.,Computer vision|Machine learning,Intermediate,Video,120,Free,0.0,Willow Learning,0.66,0.883,True,True,Python,English,https://example.org/learnbridge/resources/R0035,0.89
R0036,Software engineering Essentials 36,An original intermediate learning resource that develops software engineering concepts through interactive exercise activities and connects them with computer vision practice.,Software engineering|Computer vision,Intermediate,Interactive exercise,180,Free,0.0,Nexus Learning,0.882,0.971,True,True,Statistics,English,https://example.org/learnbridge/resources/R0036,0.345
R0037,Computer vision Essentials 37,An original advanced learning resource that develops computer vision concepts through article activities and connects them with machine learning practice.,Computer vision|Machine learning,Advanced,Article,360,Paid,59.0,Bridge Learning,0.495,0.805,True,True,Statistics,English,https://example.org/learnbridge/resources/R0037,0.552
R0038,NLP Field Guide 38,An original intermediate learning resource that develops nlp concepts through interactive exercise activities and connects them with statistics practice.,NLP|Statistics,Intermediate,Interactive exercise,180,Paid,9.0,Forge Learning,0.46,0.856,True,True,Statistics,English,https://example.org/learnbridge/resources/R0038,0.513
R0039,Responsible AI Workshop 39,An original intermediate learning resource that develops responsible ai concepts through article activities and connects them with python practice.,Responsible AI|Python,Intermediate,Article,20,Free,0.0,Forge Learning,0.812,0.924,True,True,Python,English,https://example.org/learnbridge/resources/R0039,0.366
R0040,Machine learning Essentials 40,An original intermediate learning resource that develops machine learning concepts through practice quiz activities and connects them with responsible ai practice.,Machine learning|Responsible AI,Intermediate,Practice quiz,45,Paid,9.0,Harbor Learning,0.761,0.993,True,True,Machine learning,English,https://example.org/learnbridge/resources/R0040,0.599
R0041,SQL Foundations 41,An original intermediate learning resource that develops sql concepts through video activities and connects them with mathematics practice.,SQL|Mathematics,Intermediate,Video,480,Paid,59.0,Quill Learning,0.457,0.636,False,True,Mathematics,English,https://example.org/learnbridge/resources/R0041,0.41
R0042,Deep learning Practice Lab 42,An original intermediate learning resource that develops deep learning concepts through practice quiz activities and connects them with machine learning practice.,Deep learning|Machine learning,Intermediate,Practice quiz,90,Free,0.0,Willow Learning,0.896,0.923,True,True,Statistics,English,https://example.org/learnbridge/resources/R0042,0.597
R0043,SQL Practice Lab 43,An original beginner learning resource that develops sql concepts through course activities and connects them with cloud computing practice.,SQL|Cloud computing,Beginner,Course,180,Free,0.0,Quill Learning,0.548,0.867,True,True,None,English,https://example.org/learnbridge/resources/R0043,0.326
R0044,Mathematics Practice Lab 44,An original intermediate learning resource that develops mathematics concepts through tutorial activities and connects them with sql practice.,Mathematics|SQL,Intermediate,Tutorial,30,Paid,59.0,Pixel Learning,0.823,0.848,True,True,Statistics,English,https://example.org/learnbridge/resources/R0044,0.641
R0045,SQL Field Guide 45,An original intermediate learning resource that develops sql concepts through course activities and connects them with mathematics practice.,SQL|Mathematics,Intermediate,Course,120,Free,0.0,Beacon Learning,0.596,0.885,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0045,0.435
R0046,Cloud computing Essentials 46,An original beginner learning resource that develops cloud computing concepts through practice quiz activities and connects them with machine learning practice.,Cloud computing|Machine learning,Beginner,Practice quiz,480,Free,0.0,Harbor Learning,0.979,0.995,True,True,None,English,https://example.org/learnbridge/resources/R0046,0.266
R0047,Python Essentials 47,An original intermediate learning resource that develops python concepts through practice quiz activities and connects them with data science practice.,Python|Data science,Intermediate,Practice quiz,240,Paid,25.0,Forge Learning,0.709,0.821,True,True,Python,English,https://example.org/learnbridge/resources/R0047,0.454
R0048,Data science Field Guide 48,An original beginner learning resource that develops data science concepts through video activities and connects them with machine learning practice.,Data science|Machine learning,Beginner,Video,20,Free,0.0,Cedar Learning,0.987,0.962,True,True,None,English,https://example.org/learnbridge/resources/R0048,0.169
R0049,Statistics Field Guide 49,An original beginner learning resource that develops statistics concepts through course activities and connects them with software engineering practice.,Statistics|Software engineering,Beginner,Course,480,Free,0.0,Orbit Learning,0.779,0.998,True,True,None,English,https://example.org/learnbridge/resources/R0049,0.702
R0050,Responsible AI Practice Lab 50,An original beginner learning resource that develops responsible ai concepts through article activities and connects them with data science practice.,Responsible AI|Data science,Beginner,Article,45,Free,0.0,Forge Learning,0.607,0.801,True,True,None,English,https://example.org/learnbridge/resources/R0050,0.206
R0051,Responsible AI Practice Lab 51,An original advanced learning resource that develops responsible ai concepts through project activities and connects them with statistics practice.,Responsible AI|Statistics,Advanced,Project,480,Paid,9.0,Nexus Learning,0.571,0.932,True,True,Python,English,https://example.org/learnbridge/resources/R0051,0.389
R0052,SQL Applied Path 52,An original intermediate learning resource that develops sql concepts through tutorial activities and connects them with responsible ai practice.,SQL|Responsible AI,Intermediate,Tutorial,240,Paid,39.0,Summit Learning,0.72,0.825,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0052,0.75
R0053,NLP Concept Clinic 53,An original beginner learning resource that develops nlp concepts through video activities and connects them with responsible ai practice.,NLP|Responsible AI,Beginner,Video,480,Free,0.0,Summit Learning,0.761,0.804,True,True,None,English,https://example.org/learnbridge/resources/R0053,0.539
R0054,Computer vision Field Guide 54,An original advanced learning resource that develops computer vision concepts through video activities and connects them with mathematics practice.,Computer vision|Mathematics,Advanced,Video,180,Free,0.0,Willow Learning,0.825,0.934,True,True,Python,English,https://example.org/learnbridge/resources/R0054,0.189
R0055,Deep learning Concept Clinic 55,An original beginner learning resource that develops deep learning concepts through interactive exercise activities and connects them with data science practice.,Deep learning|Data science,Beginner,Interactive exercise,180,Free,0.0,Bridge Learning,0.805,0.973,True,True,None,English,https://example.org/learnbridge/resources/R0055,0.608
R0056,Deep learning Foundations 56,An original intermediate learning resource that develops deep learning concepts through video activities and connects them with mathematics practice.,Deep learning|Mathematics,Intermediate,Video,360,Free,0.0,Bridge Learning,0.975,0.858,True,True,Statistics,English,https://example.org/learnbridge/resources/R0056,0.663
R0057,Cloud computing Applied Path 57,An original beginner learning resource that develops cloud computing concepts through project activities and connects them with computer vision practice.,Cloud computing|Computer vision,Beginner,Project,240,Paid,15.0,Forge Learning,0.954,0.989,True,True,None,English,https://example.org/learnbridge/resources/R0057,0.346
R0058,Deep learning Concept Clinic 58,An original intermediate learning resource that develops deep learning concepts through article activities and connects them with statistics practice.,Deep learning|Statistics,Intermediate,Article,480,Free,0.0,Cedar Learning,0.599,0.902,True,True,Python,English,https://example.org/learnbridge/resources/R0058,0.688
R0059,Responsible AI Practice Lab 59,An original advanced learning resource that develops responsible ai concepts through course activities and connects them with deep learning practice.,Responsible AI|Deep learning,Advanced,Course,120,Free,0.0,Quill Learning,0.92,0.866,True,True,Statistics,English,https://example.org/learnbridge/resources/R0059,0.4
R0060,Deep learning Foundations 60,An original beginner learning resource that develops deep learning concepts through practice quiz activities and connects them with computer vision practice.,Deep learning|Computer vision,Beginner,Practice quiz,45,Paid,15.0,Compass Learning,0.971,0.899,True,True,None,English,https://example.org/learnbridge/resources/R0060,0.527
R0061,Machine learning Concept Clinic 61,An original intermediate learning resource that develops machine learning concepts through interactive exercise activities and connects them with data science practice.,Machine learning|Data science,Intermediate,Interactive exercise,180,Free,0.0,Nexus Learning,0.655,0.93,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0061,0.224
R0062,Python Applied Path 62,An original beginner learning resource that develops python concepts through practice quiz activities and connects them with responsible ai practice.,Python|Responsible AI,Beginner,Practice quiz,90,Paid,9.0,Willow Learning,0.978,0.999,True,True,None,English,https://example.org/learnbridge/resources/R0062,0.785
R0063,SQL Workshop 63,An original beginner learning resource that develops sql concepts through project activities and connects them with python practice.,SQL|Python,Beginner,Project,120,Free,0.0,Pixel Learning,0.737,0.875,True,True,None,English,https://example.org/learnbridge/resources/R0063,0.632
R0064,Computer vision Practice Lab 64,An original intermediate learning resource that develops computer vision concepts through course activities and connects them with responsible ai practice.,Computer vision|Responsible AI,Intermediate,Course,45,Paid,25.0,Bridge Learning,0.935,0.846,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0064,0.385
R0065,NLP Workshop 65,An original beginner learning resource that develops nlp concepts through course activities and connects them with responsible ai practice.,NLP|Responsible AI,Beginner,Course,240,Paid,39.0,Forge Learning,0.508,0.969,True,True,None,English,https://example.org/learnbridge/resources/R0065,0.454
R0066,Python Field Guide 66,An original beginner learning resource that develops python concepts through video activities and connects them with mathematics practice.,Python|Mathematics,Beginner,Video,20,Free,0.0,Pixel Learning,0.778,0.517,False,False,None,English,https://example.org/learnbridge/resources/R0066,0.297
R0067,Mathematics Foundations 67,An original intermediate learning resource that develops mathematics concepts through article activities and connects them with responsible ai practice.,Mathematics|Responsible AI,Intermediate,Article,20,Free,0.0,Mosaic Learning,0.845,0.862,True,True,Statistics,English,https://example.org/learnbridge/resources/R0067,0.114
R0068,Machine learning Concept Clinic 68,An original advanced learning resource that develops machine learning concepts through interactive exercise activities and connects them with software engineering practice.,Machine learning|Software engineering,Advanced,Interactive exercise,90,Free,0.0,Forge Learning,0.972,0.966,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0068,0.196
R0069,Data science Foundations 69,An original intermediate learning resource that develops data science concepts through article activities and connects them with statistics practice.,Data science|Statistics,Intermediate,Article,180,Paid,39.0,Bridge Learning,0.593,0.993,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0069,0.135
R0070,Computer vision Essentials 70,An original advanced learning resource that develops computer vision concepts through video activities and connects them with mathematics practice.,Computer vision|Mathematics,Advanced,Video,240,Free,0.0,Pixel Learning,0.8,0.977,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0070,0.404
R0071,Data science Essentials 71,An original beginner learning resource that develops data science concepts through video activities and connects them with statistics practice.,Data science|Statistics,Beginner,Video,240,Free,0.0,Atlas Learning,0.66,0.847,True,True,None,English,https://example.org/learnbridge/resources/R0071,0.275
R0072,Software engineering Foundations 72,An original advanced learning resource that develops software engineering concepts through practice quiz activities and connects them with machine learning practice.,Software engineering|Machine learning,Advanced,Practice quiz,240,Free,0.0,Mosaic Learning,0.567,0.923,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0072,0.455
R0073,NLP Concept Clinic 73,An original advanced learning resource that develops nlp concepts through practice quiz activities and connects them with software engineering practice.,NLP|Software engineering,Advanced,Practice quiz,180,Free,0.0,Beacon Learning,0.5,0.855,True,True,NLP,English,https://example.org/learnbridge/resources/R0073,0.329
R0074,Software engineering Concept Clinic 74,An original beginner learning resource that develops software engineering concepts through project activities and connects them with statistics practice.,Software engineering|Statistics,Beginner,Project,480,Free,0.0,Pixel Learning,0.627,0.843,True,True,None,English,https://example.org/learnbridge/resources/R0074,0.796
R0075,Machine learning Concept Clinic 75,An original intermediate learning resource that develops machine learning concepts through project activities and connects them with statistics practice.,Machine learning|Statistics,Intermediate,Project,20,Free,0.0,Pixel Learning,0.768,0.826,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0075,0.156
R0076,Data science Essentials 76,An original intermediate learning resource that develops data science concepts through project activities and connects them with machine learning practice.,Data science|Machine learning,Intermediate,Project,480,Free,0.0,Orbit Learning,0.843,0.822,True,True,Python,English,https://example.org/learnbridge/resources/R0076,0.684
R0077,Computer vision Field Guide 77,An original intermediate learning resource that develops computer vision concepts through course activities and connects them with deep learning practice.,Computer vision|Deep learning,Intermediate,Course,240,Paid,59.0,Atlas Learning,0.485,0.815,True,True,Computer vision,English,https://example.org/learnbridge/resources/R0077,0.284
R0078,Software engineering Foundations 78,An original beginner learning resource that develops software engineering concepts through tutorial activities and connects them with cloud computing practice.,Software engineering|Cloud computing,Beginner,Tutorial,30,Free,0.0,Nexus Learning,0.839,0.959,True,True,None,English,https://example.org/learnbridge/resources/R0078,0.385
R0079,Deep learning Workshop 79,An original beginner learning resource that develops deep learning concepts through video activities and connects them with computer vision practice.,Deep learning|Computer vision,Beginner,Video,120,Free,0.0,Forge Learning,0.486,0.875,True,True,None,English,https://example.org/learnbridge/resources/R0079,0.102
R0080,Software engineering Concept Clinic 80,An original intermediate learning resource that develops software engineering concepts through practice quiz activities and connects them with cloud computing practice.,Software engineering|Cloud computing,Intermediate,Practice quiz,120,Free,0.0,Orbit Learning,0.973,0.975,True,True,Statistics,English,https://example.org/learnbridge/resources/R0080,0.443
R0081,Responsible AI Essentials 81,An original beginner learning resource that develops responsible ai concepts through video activities and connects them with deep learning practice.,Responsible AI|Deep learning,Beginner,Video,360,Free,0.0,Pixel Learning,0.886,0.953,True,True,None,English,https://example.org/learnbridge/resources/R0081,0.484
R0082,Responsible AI Field Guide 82,An original beginner learning resource that develops responsible ai concepts through practice quiz activities and connects them with cloud computing practice.,Responsible AI|Cloud computing,Beginner,Practice quiz,90,Paid,25.0,Quill Learning,0.64,0.806,True,True,None,English,https://example.org/learnbridge/resources/R0082,0.195
R0083,Mathematics Field Guide 83,An original advanced learning resource that develops mathematics concepts through video activities and connects them with responsible ai practice.,Mathematics|Responsible AI,Advanced,Video,60,Paid,25.0,Quill Learning,0.869,0.891,True,True,Python,English,https://example.org/learnbridge/resources/R0083,0.756
R0084,Software engineering Practice Lab 84,An original intermediate learning resource that develops software engineering concepts through interactive exercise activities and connects them with python practice.,Software engineering|Python,Intermediate,Interactive exercise,180,Free,0.0,Summit Learning,0.566,0.897,True,True,Statistics,English,https://example.org/learnbridge/resources/R0084,0.656
R0085,Software engineering Foundations 85,An original intermediate learning resource that develops software engineering concepts through interactive exercise activities and connects them with deep learning practice.,Software engineering|Deep learning,Intermediate,Interactive exercise,180,Free,0.0,Sprout Learning,0.613,0.997,True,True,Software engineering,English,https://example.org/learnbridge/resources/R0085,0.367
R0086,Python Foundations 86,An original intermediate learning resource that develops python concepts through article activities and connects them with cloud computing practice.,Python|Cloud computing,Intermediate,Article,360,Free,0.0,Circuit Learning,0.915,0.941,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0086,0.708
R0087,Mathematics Practice Lab 87,An original beginner learning resource that develops mathematics concepts through video activities and connects them with responsible ai practice.,Mathematics|Responsible AI,Beginner,Video,120,Free,0.0,Mosaic Learning,0.498,0.99,True,True,None,English,https://example.org/learnbridge/resources/R0087,0.518
R0088,NLP Workshop 88,An original beginner learning resource that develops nlp concepts through article activities and connects them with statistics practice.,NLP|Statistics,Beginner,Article,30,Free,0.0,Mosaic Learning,0.64,0.906,True,True,None,English,https://example.org/learnbridge/resources/R0088,0.314
R0089,Machine learning Concept Clinic 89,An original beginner learning resource that develops machine learning concepts through project activities and connects them with mathematics practice.,Machine learning|Mathematics,Beginner,Project,240,Free,0.0,Beacon Learning,0.818,0.951,True,True,None,English,https://example.org/learnbridge/resources/R0089,0.336
R0090,Software engineering Field Guide 90,An original beginner learning resource that develops software engineering concepts through video activities and connects them with python practice.,Software engineering|Python,Beginner,Video,240,Free,0.0,Cedar Learning,0.798,0.874,True,True,None,English,https://example.org/learnbridge/resources/R0090,0.438
R0091,Mathematics Essentials 91,An original intermediate learning resource that develops mathematics concepts through project activities and connects them with python practice.,Mathematics|Python,Intermediate,Project,60,Free,0.0,Atlas Learning,0.967,0.864,True,True,Statistics,English,https://example.org/learnbridge/resources/R0091,0.24
R0092,Data science Field Guide 92,An original intermediate learning resource that develops data science concepts through video activities and connects them with software engineering practice.,Data science|Software engineering,Intermediate,Video,240,Free,0.0,Harbor Learning,0.659,0.472,False,False,Mathematics,English,https://example.org/learnbridge/resources/R0092,0.839
R0093,NLP Concept Clinic 93,An original beginner learning resource that develops nlp concepts through tutorial activities and connects them with data science practice.,NLP|Data science,Beginner,Tutorial,90,Free,0.0,Atlas Learning,0.63,0.85,True,True,None,English,https://example.org/learnbridge/resources/R0093,0.537
R0094,Mathematics Practice Lab 94,An original beginner learning resource that develops mathematics concepts through tutorial activities and connects them with responsible ai practice.,Mathematics|Responsible AI,Beginner,Tutorial,30,Paid,25.0,Atlas Learning,0.812,0.862,True,True,None,English,https://example.org/learnbridge/resources/R0094,0.549
R0095,Responsible AI Field Guide 95,An original intermediate learning resource that develops responsible ai concepts through interactive exercise activities and connects them with mathematics practice.,Responsible AI|Mathematics,Intermediate,Interactive exercise,90,Free,0.0,Forge Learning,0.554,0.836,True,True,Python,English,https://example.org/learnbridge/resources/R0095,0.311
R0096,Mathematics Practice Lab 96,An original beginner learning resource that develops mathematics concepts through interactive exercise activities and connects them with cloud computing practice.,Mathematics|Cloud computing,Beginner,Interactive exercise,480,Paid,15.0,Lumen Learning,0.548,0.826,True,True,None,English,https://example.org/learnbridge/resources/R0096,0.296
R0097,Python Concept Clinic 97,An original beginner learning resource that develops python concepts through practice quiz activities and connects them with deep learning practice.,Python|Deep learning,Beginner,Practice quiz,240,Free,0.0,Beacon Learning,0.576,0.922,True,True,None,English,https://example.org/learnbridge/resources/R0097,0.18
R0098,Statistics Essentials 98,An original intermediate learning resource that develops statistics concepts through tutorial activities and connects them with computer vision practice.,Statistics|Computer vision,Intermediate,Tutorial,240,Paid,59.0,Willow Learning,0.972,0.954,True,True,Statistics,English,https://example.org/learnbridge/resources/R0098,0.789
R0099,Responsible AI Foundations 99,An original advanced learning resource that develops responsible ai concepts through tutorial activities and connects them with deep learning practice.,Responsible AI|Deep learning,Advanced,Tutorial,360,Paid,15.0,Summit Learning,0.693,0.97,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0099,0.678
R0100,Deep learning Foundations 100,An original advanced learning resource that develops deep learning concepts through course activities and connects them with nlp practice.,Deep learning|NLP,Advanced,Course,360,Free,0.0,Mosaic Learning,0.571,0.875,True,True,Statistics,English,https://example.org/learnbridge/resources/R0100,0.244
R0101,Machine learning Practice Lab 101,An original beginner learning resource that develops machine learning concepts through project activities and connects them with statistics practice.,Machine learning|Statistics,Beginner,Project,45,Free,0.0,Beacon Learning,0.782,0.952,True,True,None,English,https://example.org/learnbridge/resources/R0101,0.295
R0102,Statistics Foundations 102,An original beginner learning resource that develops statistics concepts through article activities and connects them with nlp practice.,Statistics|NLP,Beginner,Article,480,Free,0.0,Forge Learning,0.772,0.891,True,True,None,English,https://example.org/learnbridge/resources/R0102,0.117
R0103,Computer vision Essentials 103,An original intermediate learning resource that develops computer vision concepts through article activities and connects them with python practice.,Computer vision|Python,Intermediate,Article,45,Free,0.0,Mosaic Learning,0.487,0.933,True,True,Computer vision,English,https://example.org/learnbridge/resources/R0103,0.486
R0104,Responsible AI Workshop 104,An original advanced learning resource that develops responsible ai concepts through interactive exercise activities and connects them with computer vision practice.,Responsible AI|Computer vision,Advanced,Interactive exercise,120,Paid,9.0,Quill Learning,0.522,0.958,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0104,0.288
