profile_id,resource_id,relevance
P001,R0384,2
P001,R0385,0
P001,R0386,0
P001,R0387,0
P001,R0388,2
P001,R0389,0
P001,R0390,0
P001,R0391,1
P001,R0392,2
P001,R0393,0
P001,R0394,0
P001,R0395,0
P001,R0396,0
P001,R0397,1
P001,R0398,0
P001,R0399,0
P001,R0400,0
P001,R0401,0
P001,R0402,0
P001,R0403,1
P001,R0404,0
P001,R0405,1
P001,R0406,0
P001,R0407,0
P001,R0408,2
P001,R0409,1
P001,R0410,0
P001,R0411,0
P001,R0412,0
P001,R0413,0
P001,R0414,0
P001,R0415,0
P001,R0416,0
P001,R0417,0
P001,R0418,2
P001,R0419,0
P001,R0420,1
P001,R0421,1
P001,R0422,0
P001,R0423,0
P001,R0424,2
P001,R0425,0
P001,R0426,0
P001,R0427,0
P001,R0428,0
P001,R0429,0
P001,R0430,0
P001,R0431,1
P001,R0432,0
P001,R0433,0
P001,R0434,0
P001,R0435,0
P001,R0436,0
P001,R0437,2
P001,R0438,0
P001,R0439,1
P001,R0440,1
P001,R0441,0
P001,R0442,0
P001,R0443,0
P001,R0444,0
P001,R0445,2
P001,R0446,0
P001,R0447,1
P001,R0448,1
P001,R0449,0
P001,R0450,0
P001,R0451,1
P001,R0452,0
P001,R0453,0
P001,R0454,0
P001,R0455,0
P001,R0456,0
P001,R0457,0
P001,R0458,0
P001,R0459,0
P001,R0460,0
P001,R0461,0
P001,R0462,0
P001,R0463,0
P001,R0464,0
P001,R0465,0
P001,R0466,2
P001,R0467,0
P001,R0468,2
P001,R0469,0
P001,R0470,0
P001,R0471,2
P001,R0472,1
P001,R0473,0
P001,R0474,1
P001,R0475,0
P001,R0476,0
P001,R0477,0
P001,R0478,1
P001,R0479,1
P001,R0480,0
P001,R0481,0
P001,R0482,2
P001,R0483,0
P001,R0484,1
P001,R0485,0
P001,R0486,1
P001,R0487,0
P001,R0488,0
P001,R0489,1
P001,R0490,1
P001,R0491,0
P001,R0492,0
P001,R0493,0
P001,R0494,0
P001,R0495,0
P001,R0496,0
P001,R0497,2
P001,R0498,1
P001,R0499,0
P001,R0500,1
P001,R0501,1
P001,R0502,0
P001,R0503,0
P001,R0504,0
P001,R0505,2
P001,R0506,0
P001,R0507,0
P001,R0508,0
P001,R0509,0
P001,R0510,0
P001,R0511,0
P001,R0512,2
P001,R0513,0
P001,R0514,0
P001,R0515,0
P001,R0516,0
P001,R0517,2
P001,R0518,0
P001,R0519,0
P001,R0520,2
P001,R0521,0
P001,R0522,0
P001,R0523,1
P001,R0524,0
P001,R0525,0
P001,R0526,2
P001,R0527,0
P001,R0528,0
P001,R0529,1
P001,R0530,0
P001,R0531,0
P001,R0532,0
P001,R0533,0
P001,R0534,0
P001,R0535,0
P001,R0536,0
P001,R0537,1
P001,R0538,0
P001,R0539,0
P001,R0540,0
P001,R0541,0
P001,R0542,0
P001,R0543,2
P001,R0544,0
P001,R0545,0
P001,R0546,0
P001,R0547,0
P001,R0548,0
P001,R0549,0
P001,R0550,0
P001,R0551,0
P001,R0552,1
P001,R0553,0
P001,R0554,0
P001,R0555,0
P001,R0556,0
P001,R0557,1
P001,R0558,0
P001,R0559,1
P001,R0560,2
P001,R0561,0
P001,R0562,0
P001,R0563,0
P001,R0564,0
P001,R0565,0
P001,R0566,1
P001,R0567,0
P001,R0568,0
P001,R0569,0
P001,R0570,0
P001,R0571,1
P001,R0572,0
P001,R0573,0
P001,R0574,0
P001,R0575,0
P001,R0576,0
P001,R0577,2
P001,R0578,0
P001,R0579,0
P001,R0580,0
P001,R0581,0
P001,R0582,0
P001,R0583,0
P001,R0584,1
P001,R0585,1
P001,R0586,0
P001,R0587,0
P001,R0588,0
P001,R0589,0
P001,R0590,0
P001,R0591,0
P001,R0592,0
P001,R0593,0
P001,R0594,0
P001,R0595,0
P001,R0596,0
P001,R0597,0
P001,R0598,0
P001,R0599,1
P001,R0600,0
P002,R0001,1
P002,R0002,1
P002,R0003,1
P002,R0004,1
P002,R0005,1
P002,R0006,1
P002,R0007,1
P002,R0008,1
P002,R0009,1
P002,R0010,2
P002,R0011,2
P002,R0012,2
P002,R0013,1
P002,R0014,1
P002,R0015,1
P002,R0016,2
P002,R0017,2
P002,R0018,2
P002,R0019,1
P002,R0020,2
P002,R0021,1
P002,R0022,2
P002,R0023,1
P002,R0024,1
P002,R0025,2
P002,R0026,1
P002,R0027,2
P002,R0028,1
P002,R0029,1
P002,R0030,2
P002,R0031,1
P002,R0032,1
P002,R0033,2
P002,R0034,1
P002,R0035,1
P002,R0036,1
P002,R0037,1
P002,R0038,1
P002,R0039,1
P002,R0040,1
P002,R0041,1
P002,R0042,1
P002,R0043,2
P002,R0044,1
P002,R0045,1
P002,R0046,2
P002,R0047,1
P002,R0048,1
P002,R0049,1
P002,R0050,1
P002,R0051,1
P002,R0052,1
P002,R0053,1
P002,R0054,1
P002,R0055,1
P002,R0056,1
P002,R0057,2
P002,R0058,1
P002,R0059,1
P002,R0060,1
P002,R0061,1
P002,R0062,1
P002,R0063,1
P002,R0064,1
P002,R0065,1
P002,R0066,1
P002,R0067,1
P002,R0068,1
P002,R0069,1
P002,R0070,1
P002,R0071,1
P002,R0072,1
P002,R0073,1
P002,R0074,1
P002,R0075,1
P002,R0076,1
P002,R0077,1
P002,R0078,2
P002,R0079,1
P002,R0080,2
P002,R0081,1
P002,R0082,2
P002,R0083,1
P002,R0084,1
P002,R0085,1
P002,R0086,2
P002,R0087,1
P002,R0088,1
P002,R0089,1
P002,R0090,1
P002,R0091,1
P002,R0092,1
P002,R0093,1
P002,R0094,1
P002,R0095,1
P002,R0096,2
P002,R0097,1
P002,R0098,1
P002,R0099,1
P002,R0100,1
P002,R0101,1
P002,R0102,1
P002,R0103,1
P002,R0104,1
P002,R0105,1
P002,R0106,1
P002,R0107,1
P002,R0108,1
P002,R0109,1
P002,R0110,2
P002,R0111,1
P002,R0112,1
P002,R0113,1
P002,R0114,1
P002,R0115,1
P002,R0116,1
P002,R0117,2
P002,R0118,1
P002,R0119,1
P002,R0120,2
P002,R0121,1
P002,R0122,2
P002,R0123,1
P002,R0124,2
P002,R0125,1
P002,R0126,1
P002,R0127,1
P002,R0128,1
P002,R0129,1
P002,R0130,1
P002,R0131,2
P002,R0132,1
P002,R0133,1
P002,R0134,1
P002,R0135,1
P002,R0136,1
P002,R0137,1
P002,R0138,1
P002,R0139,1
P002,R0140,1
P002,R0141,1
P002,R0142,2
P002,R0143,1
P002,R0144,1
P002,R0145,1
P002,R0146,1
P002,R0147,1
P002,R0148,1
P002,R0149,1
P002,R0150,1
P002,R0151,2
P002,R0152,2
P002,R0153,1
P002,R0154,1
P002,R0155,1
P002,R0156,1
P002,R0157,1
P002,R0158,1
P002,R0159,1
P002,R0160,1
P002,R0161,2
P002,R0162,1
P002,R0163,1
P002,R0164,1
P002,R0165,1
P002,R0166,1
P002,R0167,1
P002,R0168,1
P002,R0169,1
P002,R0170,1
P002,R0171,2
P002,R0172,1
P002,R0173,1
P002,R0174,1
P002,R0175,1
P002,R0176,1
P002,R0177,2
P002,R0178,1
P002,R0179,1
P002,R0180,1
P002,R0181,1
P002,R0182,1
P002,R0183,2
P002,R0184,1
P002,R0185,1
P002,R0186,1
P002,R0187,1
P002,R0188,1
P002,R0189,1
P002,R0190,2
P002,R0191,1
P002,R0192,2
P002,R0193,1
P002,R0194,1
P002,R0195,1
P002,R0196,1
P002,R0197,1
P002,R0198,1
P002,R0199,1
P002,R0200,2
P002,R0201,1
P002,R0202,2
P002,R0203,1
P002,R0204,1
P002,R0205,1
P002,R0206,1
P002,R0207,2
P002,R0208,1
P002,R0209,1
P002,R0210,1
P002,R0211,2
P002,R0212,2
P002,R0213,1
P002,R0214,1
P002,R0215,2
P002,R0216,2
P002,R0217,1
P002,R0218,1
P002,R0219,1
P002,R0220,2
P002,R0221,1
P002,R0222,2
P002,R0223,1
P002,R0224,1
P002,R0225,1
P002,R0226,1
P002,R0227,1
P002,R0228,1
P002,R0229,2
P002,R0230,1
P002,R0231,1
P002,R0232,1
P002,R0233,1
P002,R0234,1
P002,R0235,2
P002,R0236,1
P002,R0237,1
P002,R0238,1
P002,R0239,1
P002,R0240,1
P002,R0241,1
P002,R0242,1
P002,R0243,1
P002,R0244,1
P002,R0245,1
P002,R0246,1
P002,R0247,1
P002,R0248,1
P002,R0249,2
P002,R0250,1
P002,R0251,1
P002,R0252,2
P002,R0253,1
P002,R0254,1
P002,R0255,1
P002,R0256,2
P002,R0257,2
P002,R0258,1
P002,R0259,1
P002,R0260,2
P002,R0261,1
P002,R0262,1
P002,R0263,2
P002,R0264,1
P002,R0265,1
P002,R0266,1
P002,R0267,1
P002,R0268,2
P002,R0269,1
P002,R0270,1
P002,R0271,2
P002,R0272,1
P002,R0273,1
P002,R0274,1
P002,R0275,1
P002,R0276,1
P002,R0277,1
P002,R0278,1
P002,R0279,1
P002,R0280,1
P002,R0281,2
P002,R0282,1
P002,R0283,2
P002,R0284,1
P002,R0285,1
P002,R0286,1
P002,R0287,1
P002,R0288,1
P002,R0289,1
P002,R0290,1
P002,R0291,1
P002,R0292,1
P002,R0293,1
P002,R0294,2
P002,R0295,2
P002,R0296,1
P002,R0297,2
P002,R0298,1
P002,R0299,1
P002,R0300,1
P002,R0301,1
P002,R0302,1
P002,R0303,1
P002,R0304,1
P002,R0305,1
P002,R0306,2
P002,R0307,1
P002,R0308,1
P002,R0309,2
P002,R0310,2
P002,R0311,1
P002,R0312,1
P002,R0313,2
P002,R0314,1
P002,R0315,1
P002,R0316,1
P002,R0317,1
P002,R0318,1
P002,R0319,1
P002,R0320,1
P002,R0321,1
P002,R0322,1
P002,R0323,2
P002,R0324,1
P002,R0325,1
P002,R0326,1
P002,R0327,1
P002,R0328,1
P002,R0329,1
P002,R0330,1
P002,R0331,1
P002,R0332,1
P002,R0333,1
P002,R0334,1
P002,R0335,1
P002,R0336,2
P002,R0337,1
P002,R0338,1
P002,R0339,2
P002,R0340,1
P002,R0341,1
P002,R0342,1
P002,R0343,2
P002,R0344,1
P002,R0345,1
P002,R0346,1
P002,R0347,1
P002,R0348,2
P002,R0349,1
P002,R0350,1
P002,R0351,1
P002,R0352,1
P002,R0353,1
P002,R0354,1
P002,R0355,1
P002,R0356,1
P002,R0357,2
P002,R0358,2
P002,R0359,1
P002,R0360,1
P002,R0361,1
P002,R0362,1
P002,R0363,2
P002,R0364,1
P002,R0365,1
P002,R0366,2
P002,R0367,2
P002,R0368,1
P002,R0369,1
P002,R0370,1
P002,R0371,2
P002,R0372,2
P002,R0373,1
P002,R0374,1
P002,R0375,1
P002,R0376,1
P002,R0377,1
P002,R0378,2
P002,R0379,1
P002,R0380,1
P002,R0381,1
P002,R0382,2
P002,R0383,1
P002,R0384,1
P002,R0385,1
P002,R0386,1
P002,R0387,2
P002,R0388,1
P002,R0389,1
P002,R0390,1
P002,R0391,1
P002,R0392,1
P002,R0393,1
P002,R0394,1
P002,R0395,1
P002,R0396,2
P002,R0397,1
P002,R0398,1
P002,R0399,1
P002,R0400,1
P002,R0401,1
P002,R0402,1
P002,R0403,1
P002,R0404,2
P002,R0405,1
P002,R0406,1
P002,R0407,1
P002,R0408,1
P002,R0409,1
P002,R0410,1
P002,R0411,1
P002,R0412,2
P002,R0413,1
P002,R0414,1
P002,R0415,2
P002,R0416,2
P002,R0417,1
P002,R0418,1
P002,R0419,2
P002,R0420,1
P002,R0421,1
P002,R0422,1
P002,R0423,1
P002,R0424,1
P002,R0425,1
P002,R0426,1
P002,R0427,1
P002,R0428,1
P002,R0429,1
P002,R0430,1
P002,R0431,1
P002,R0432,2
P002,R0433,1
P002,R0434,1
P002,R0435,1
P002,R0436,1
P002,R0437,1
P002,R0438,1
P002,R0439,1
P002,R0440,1
P002,R0441,1
P002,R0442,1
P002,R0443,1
P002,R0444,1
P002,R0445,1
P002,R0446,2
P002,R0447,1
P002,R0448,1
P002,R0449,1
P002,R0450,1
P002,R0451,2
P002,R0452,1
P002,R0453,1
P002,R0454,1
P002,R0455,2
P002,R0456,2
P002,R0457,1
P002,R0458,1
P002,R0459,2
P002,R0460,2
P002,R0461,1
P002,R0462,1
P002,R0463,1
P002,R0464,1
P002,R0465,1
P002,R0466,2
P002,R0467,1
P002,R0468,1
P002,R0469,1
P002,R0470,1
P002,R0471,1
P002,R0472,1
P002,R0473,2
P002,R0474,1
P002,R0475,1
P002,R0476,1
P002,R0477,1
P002,R0478,1
P002,R0479,1
P002,R0480,1
P002,R0481,1
P002,R0482,1
P002,R0483,1
P002,R0484,1
P002,R0485,2
P002,R0486,1
P002,R0487,2
P002,R0488,2
P002,R0489,1
P002,R0490,1
P002,R0491,1
P002,R0492,2
P002,R0493,2
P002,R0494,2
P002,R0495,1
P002,R0496,2
P002,R0497,2
P002,R0498,1
P002,R0499,2
P002,R0500,2
P002,R0501,1
P002,R0502,2
P002,R0503,2
P002,R0504,2
P002,R0505,1
P002,R0506,1
P002,R0507,1
P002,R0508,1
P002,R0509,2
P002,R0510,1
P002,R0511,2
P002,R0512,1
P002,R0513,1
P002,R0514,1
P002,R0515,1
P002,R0516,1
P002,R0517,1
P002,R0518,1
P002,R0519,1
P002,R0520,1
P002,R0521,1
P002,R0522,1
P002,R0523,2
P002,R0524,2
P002,R0525,1
P002,R0526,1
P002,R0527,1
P002,R0528,1
P002,R0529,1
P002,R0530,1
P002,R0531,2
P002,R0532,1
P002,R0533,2
P002,R0534,2
P002,R0535,1
P002,R0536,1
P002,R0537,1
P002,R0538,1
P002,R0539,1
P002,R0540,1
P002,R0541,1
P002,R0542,1
P002,R0543,2
P002,R0544,2
P002,R0545,1
P002,R0546,1
P002,R0547,1
P002,R0548,1
P002,R0549,1
P002,R0550,1
P002,R0551,2
P002,R0552,1
P002,R0553,2
P002,R0554,1
P002,R0555,2
P002,R0556,1
P002,R0557,1
P002,R0558,1
P002,R0559,1
P002,R0560,1
P002,R0561,1
P002,R0562,1
P002,R0563,1
P002,R0564,1
P002,R0565,1
P002,R0566,1
P002,R0567,2
P002,R0568,1
P002,R0569,1
P002,R0570,1
P002,R0571,1
P002,R0572,1
P002,R0573,1
P002,R0574,1
P002,R0575,1
P002,R0576,1
P002,R0577,2
P002,R0578,1
P002,R0579,1
P002,R0580,1
P002,R0581,2
P002,R0582,1
P002,R0583,1
P002,R0584,2
P002,R0585,1
P002,R0586,1
P002,R0587,1
P002,R0588,1
P002,R0589,1
P002,R0590,2
P002,R0591,1
P002,R0592,1
P002,R0593,1
P002,R0594,2
P002,R0595,1
P002,R0596,1
P002,R0597,1
P002,R0598,2
P002,R0599,1
P002,R0600,1
P003,R0001,2
P003,R0002,1
P003,R0003,2
P003,R0004,1
P003,R0005,1
P003,R0006,1
P003,R0007,1
P003,R0008,1
P003,R0009,1
P003,R0010,1
P003,R0011,1
P003,R0012,1
P003,R0013,1
P003,R0014,1
P003,R0015,2
P003,R0016,1
P003,R0017,1
P003,R0018,1
P003,R0019,2
P003,R0020,1
P003,R0021,1
P003,R0022,1
P003,R0023,1
P003,R0024,1
P003,R0025,1
P003,R0026,1
P003,R0027,2
P003,R0028,1
P003,R0029,1
P003,R0030,1
P003,R0031,1
P003,R0032,1
P003,R0033,1
P003,R0034,1
P003,R0035,1
P003,R0036,1
P003,R0037,1
P003,R0038,1
P003,R0039,1
P003,R0040,1
P003,R0041,1
P003,R0042,1
P003,R0043,1
P003,R0044,1
P003,R0045,1
P003,R0046,1
P003,R0047,2
P003,R0048,2
P003,R0049,1
P003,R0050,2
P003,R0051,1
P003,R0052,1
P003,R0053,1
P003,R0054,1
P003,R0055,2
P003,R0056,1
P003,R0057,1
P003,R0058,1
P003,R0059,1
P003,R0060,1
P003,R0061,2
P003,R0062,1
P003,R0063,1
P003,R0064,1
P003,R0065,1
P003,R0066,1
P003,R0067,1
P003,R0068,1
P003,R0069,2
P003,R0070,1
P003,R0071,2
P003,R0072,1
P003,R0073,1
P003,R0074,1
P003,R0075,1
P003,R0076,2
P003,R0077,1
P003,R0078,1
P003,R0079,1
P003,R0080,1
P003,R0081,1
P003,R0082,1
P003,R0083,1
P003,R0084,1
P003,R0085,1
P003,R0086,1
P003,R0087,1
P003,R0088,1
P003,R0089,1
P003,R0090,1
P003,R0091,1
P003,R0092,2
P003,R0093,2
P003,R0094,1
P003,R0095,1
P003,R0096,1
P003,R0097,1
P003,R0098,1
P003,R0099,1
P003,R0100,1
P003,R0101,1
P003,R0102,1
P003,R0103,1
P003,R0104,1
P003,R0105,1
P003,R0106,1
P003,R0107,1
P003,R0108,2
P003,R0109,1
P003,R0110,1
P003,R0111,1
P003,R0112,1
P003,R0113,1
P003,R0114,1
P003,R0115,1
P003,R0116,1
P003,R0117,1
P003,R0118,1
P003,R0119,2
P003,R0120,1
P003,R0121,1
P003,R0122,1
P003,R0123,2
P003,R0124,1
P003,R0125,1
P003,R0126,1
P003,R0127,1
P003,R0128,1
P003,R0129,1
P003,R0130,1
P003,R0131,1
P003,R0132,1
P003,R0133,1
P003,R0134,2
P003,R0135,2
P003,R0136,1
P003,R0137,1
P003,R0138,2
P003,R0139,1
P003,R0140,1
P003,R0141,1
P003,R0142,1
P003,R0143,1
P003,R0144,1
P003,R0145,1
P003,R0146,1
P003,R0147,1
P003,R0148,1
P003,R0149,1
P003,R0150,1
P003,R0151,1
P003,R0152,1
P003,R0153,1
P003,R0154,2
P003,R0155,2
P003,R0156,2
P003,R0157,2
P003,R0158,1
P003,R0159,1
P003,R0160,1
P003,R0161,2
P003,R0162,1
P003,R0163,1
P003,R0164,1
P003,R0165,1
P003,R0166,2
P003,R0167,1
P003,R0168,1
P003,R0169,2
P003,R0170,2
P003,R0171,1
P003,R0172,1
P003,R0173,1
P003,R0174,1
P003,R0175,1
P003,R0176,1
P003,R0177,1
P003,R0178,1
P003,R0179,1
P003,R0180,1
P003,R0181,1
P003,R0182,1
P003,R0183,1
P003,R0184,2
P003,R0185,2
P003,R0186,1
P003,R0187,1
P003,R0188,2
P003,R0189,1
P003,R0190,1
P003,R0191,2
P003,R0192,1
P003,R0193,1
P003,R0194,1
P003,R0195,1
P003,R0196,1
P003,R0197,1
P003,R0198,1
P003,R0199,2
P003,R0200,1
P003,R0201,1
P003,R0202,1
P003,R0203,1
P003,R0204,1
P003,R0205,2
P003,R0206,1
P003,R0207,1
P003,R0208,1
P003,R0209,1
P003,R0210,1
P003,R0211,1
P003,R0212,1
P003,R0213,1
P003,R0214,1
P003,R0215,1
P003,R0216,1
P003,R0217,1
P003,R0218,1
P003,R0219,1
P003,R0220,1
P003,R0221,1
P003,R0222,1
P003,R0223,2
P003,R0224,1
P003,R0225,2
P003,R0226,1
P003,R0227,2
P003,R0228,1
P003,R0229,1
P003,R0230,2
P003,R0231,1
P003,R0232,1
P003,R0233,1
P003,R0234,1
P003,R0235,1
P003,R0236,1
P003,R0237,1
P003,R0238,1
P003,R0239,1
P003,R0240,1
P003,R0241,1
P003,R0242,2
P003,R0243,1
P003,R0244,1
P003,R0245,2
P003,R0246,1
P003,R0247,1
P003,R0248,1
P003,R0249,1
P003,R0250,2
P003,R0251,1
P003,R0252,1
P003,R0253,1
P003,R0254,1
P003,R0255,1
P003,R0256,1
P003,R0257,1
P003,R0258,1
P003,R0259,1
P003,R0260,1
P003,R0261,1
P003,R0262,1
P003,R0263,2
P003,R0264,1
P003,R0265,1
P003,R0266,1
P003,R0267,1
P003,R0268,1
P003,R0269,1
P003,R0270,2
P003,R0271,1
P003,R0272,2
P003,R0273,1
P003,R0274,2
P003,R0275,1
P003,R0276,2
P003,R0277,1
P003,R0278,2
P003,R0279,1
P003,R0280,2
P003,R0281,1
P003,R0282,2
P003,R0283,1
P003,R0284,1
P003,R0285,1
P003,R0286,1
P003,R0287,1
P003,R0288,1
P003,R0289,1
P003,R0290,1
P003,R0291,1
P003,R0292,1
P003,R0293,1
P003,R0294,1
P003,R0295,1
P003,R0296,1
P003,R0297,1
P003,R0298,2
P003,R0299,1
P003,R0300,1
P003,R0301,1
P003,R0302,1
P003,R0303,1
P003,R0304,1
P003,R0305,1
P003,R0306,1
P003,R0307,1
P003,R0308,1
P003,R0309,1
P003,R0310,1
P003,R0311,1
P003,R0312,2
P003,R0313,1
P003,R0314,1
P003,R0315,1
P003,R0316,1
P003,R0317,1
P003,R0318,1
P003,R0319,1
P003,R0320,1
P003,R0321,1
P003,R0322,1
P003,R0323,1
P003,R0324,2
P003,R0325,1
P003,R0326,1
P003,R0327,1
P003,R0328,2
P003,R0329,1
P003,R0330,1
P003,R0331,1
P003,R0332,2
P003,R0333,1
P003,R0334,1
P003,R0335,1
P003,R0336,1
P003,R0337,2
P003,R0338,1
P003,R0339,1
P003,R0340,1
P003,R0341,1
P003,R0342,1
P003,R0343,1
P003,R0344,1
P003,R0345,1
P003,R0346,1
P003,R0347,1
P003,R0348,1
P003,R0349,1
P003,R0350,1
P003,R0351,1
P003,R0352,1
