profile_id,learning_goal,current_level,weak_topics,preferred_formats,weekly_time_minutes,free_only,requires_captions,exploration_level
P054,build practical machine learning systems,Beginner,NLP|Software engineering,Project|Article,90,False,False,0.73
P055,build practical machine learning systems,Intermediate,Mathematics|Responsible AI,Interactive exercise|Project,240,True,True,0.55
P056,prepare for cloud data projects,Intermediate,Computer vision|NLP|Statistics,Article|Course,60,True,False,0.88
P057,build practical machine learning systems,Beginner,NLP|Data science|Computer vision,Interactive exercise|Project,90,True,False,0.85
P058,build practical machine learning systems,Intermediate,Software engineering|NLP|Python,Course|Video,90,False,False,0.93
P059,learn data analysis with Python,Advanced,Software engineering|Computer vision|NLP,Article|Video,120,False,False,0.78
P060,improve SQL and data science skills,Advanced,Mathematics|Deep learning,Practice quiz|Project,120,False,False,0.09
P061,improve SQL and data science skills,Intermediate,Statistics|NLP,Tutorial|Video,360,False,True,0.09
P062,learn computer vision and deep learning,Beginner,Statistics|Computer vision,Practice quiz|Project,240,False,True,0.35
P063,prepare for cloud data projects,Advanced,Machine learning|Python|Deep learning,Video|Tutorial,120,True,True,0.42
P064,learn data analysis with Python,Intermediate,Cloud computing|Python,Project|Practice quiz,60,True,False,0.66
P065,understand responsible AI,Intermediate,Responsible AI|Deep learning|SQL,Article|Interactive exercise,180,False,False,0.58
P066,learn data analysis with Python,Intermediate,Cloud computing|Software engineering|Computer vision,Interactive exercise|Project,360,True,False,0.46
P067,build practical machine learning systems,Advanced,Cloud computing|Software engineering,Article|Practice quiz,60,False,True,0.57
P068,understand responsible AI,Advanced,Responsible AI,Video|Course,90,True,False,0.15
P069,learn data analysis with Python,Beginner,Deep learning|Cloud computing|Statistics,Article|Tutorial,120,False,False,0.18
P070,learn computer vision and deep learning,Intermediate,SQL|Responsible AI,Tutorial|Video,180,True,False,0.83
P071,learn data analysis with Python,Advanced,SQL,Tutorial|Article,120,False,False,0.28
P072,learn data analysis with Python,Beginner,Statistics|Python,Interactive exercise|Tutorial,240,False,True,0.26
